ID,IndicatorName,Lookup Paper,Comment
1911,204,554,
1912,203,555,
1913,204,555,
1914,177,556,
1915,188,556,
1916,203,557,
1917,188,558,
1918,190,559,
1919,203,560,
1920,177,561,
1921,164,563,
1922,182,563,
1923,182,562,
1924,164,564,
1925,171,564,
1926,176,564,
1927,203,564,
1928,204,564,
1929,175,565,
1930,205,566,
1931,192,566,
1932,183,567,
1933,205,568,
1934,188,569,
1935,177,571,
1936,177,570,
1937,188,572,
1938,188,573,
1939,188,574,
1940,188,575,
1941,197,576,
1942,177,577,
1943,182,578,
1944,194,579,
1945,183,579,
1946,203,579,
1947,182,580,
1948,183,580,
1949,183,581,
1950,181,581,
1951,185,581,
1952,188,583,
1953,182,584,
1954,194,584,
1955,203,584,
1956,191,585,
1957,182,585,
1958,181,585,
1959,191,586,
1960,185,586,
1961,204,586,
1962,183,587,
1963,182,587,
1964,185,587,
1965,177,588,
1966,177,589,
1967,182,590,
1968,194,590,
1969,182,591,
1970,204,592,
1971,177,593,
1972,182,594,
1973,195,595,
1974,182,596,
1975,203,604,
1976,183,600,
1977,203,606,
1978,191,606,
1979,176,606,
1980,188,606,
1981,177,599,
1982,177,605,
1983,183,603,
1984,182,597,
1985,203,597,
1986,201,601,
1987,197,598,
1988,188,602,
1989,194,607,
1990,182,607,
1991,203,607,
1992,182,608,
1993,203,608,
1994,191,608,
1995,203,609,
1996,177,611,
1997,188,610,
1998,183,613,
1999,191,613,
2000,182,614,
2001,185,614,
2002,203,614,
2003,177,615,
2004,168,619,
2005,197,616,
2006,182,616,
2007,188,612,
2008,203,617,
2009,203,618,
2010,194,618,
2011,188,621,
2012,197,621,
2013,188,622,
2014,197,623,
2015,198,623,
2016,177,624,
2017,177,620,
2018,177,627,
2019,188,625,
2020,188,626,
2021,188,628,
2022,203,630,
2023,182,629,
2024,203,629,
2025,164,629,
2026,171,629,
2027,204,629,
2028,188,631,
2029,182,632,
2030,194,632,
2031,203,634,
2032,182,634,
2033,204,634,
2034,191,634,
2035,188,633,
2036,182,653,
2037,194,653,
2038,177,636,
2039,177,646,
2040,194,646,
2041,203,646,
2042,182,645,
2043,191,645,
2044,182,641,
2045,191,641,
2046,177,638,
2047,204,649,
2048,178,642,
2049,179,644,
2050,182,644,
2051,194,644,
2052,203,644,
2053,197,639,
2054,182,643,
2055,177,640,
2056,177,647,
2057,177,648,
2058,177,637,
2059,191,650,
2060,203,650,
2061,177,651,
2062,203,652,
2063,185,654,
2064,182,654,
2065,203,654,
2066,177,656,
2067,203,658,
2068,177,657,
2069,188,655,
2070,203,659,
2071,164,660,
2072,177,635,
2073,182,391,
2074,177,386,
2075,191,396,
2076,182,408,
2077,197,429,
2078,196,537,
2079,182,582,
2573,300,661,
2574,301,661,
2575,302,661,
2576,303,661,
2577,304,661,
2578,305,661,
2579,306,661,
2580,308,661,
2581,309,661,
2582,310,661,
2583,311,663,
2584,312,664,
2585,313,664,
2586,314,664,
2587,315,664,
2588,316,664,
2589,317,664,
2590,318,665,
2591,319,665,
2592,320,665,
2593,321,665,
2594,322,665,
2595,323,665,
2596,320,667,
2597,336,668,
2598,337,668,
2599,338,670,
2600,315,671,
2601,337,671,
2602,309,672,
2603,328,669,
2604,329,669,
2605,330,669,
2606,331,669,
2607,332,669,
2608,333,669,
2609,334,669,
2610,327,669,
2611,326,667,
2612,325,667,
2613,324,667,
2614,340,672,
2615,337,673,
2616,337,674,
2617,344,676,
2618,345,676,
2619,337,677,
2620,337,678,
2621,348,678,
2622,308,678,inversed
2623,304,678,
2624,309,678,
2625,349,678,
2626,350,678,
2627,337,679,
2628,339,680,
2629,339,672,
2630,313,680,
2631,351,680,
2632,351,681,
2633,341,679,
2634,342,679,
2635,343,679,
2636,337,681,
2637,352,682,
2638,309,682,
2639,308,682,
2640,320,682,
2641,353,682,
2642,340,678,
2643,355,682,
2644,354,682,
2645,356,684,
2646,337,685,
2647,356,685,
2648,356,686,
2649,342,685,
2650,315,684,
2651,311,684,Greening Rate
2652,357,684,
2653,322,684,
2654,358,689,
2655,359,689,
2656,320,690,
2657,343,691,
2658,350,691,
2659,310,691,
2660,337,692,
2661,307,692,per capita
2662,360,692,
2663,310,692,
2664,337,666,as Sale price
2665,337,667,as Sale price
2666,337,693,as Sale price
2667,304,693,
2668,308,694,
2669,324,694,
2670,304,694,
2671,356,694,
2672,306,696,
2673,343,696,
2674,335,668,
2675,335,696,
2676,324,696,per capita
2677,305,696,
2678,363,696,
2679,362,696,
2680,314,696,
2681,337,661,both new and existing
2682,337,697,
2683,324,697,
2684,339,697,
2685,329,697,
2686,353,698,
2687,337,698,
2688,343,699,
2689,322,699,
2690,332,699,
2691,356,699,
2692,365,699,
2693,310,700,
2694,312,700,
2695,339,700,
2696,368,700,
2697,367,700,
2698,352,701,
2699,352,702,
2700,310,702,
2701,307,702,
2702,352,703,
2703,337,704,
2704,342,759,
2705,324,705,
2706,342,705,
2707,305,706,
2708,337,706,
2709,369,706,
2710,308,706,
2711,327,706,
2712,352,707,
2713,352,708,
2714,304,708,
2715,309,708,
2716,370,708,
2717,367,708,
2718,343,708,
2719,367,709,
2720,356,709,
2721,309,710,
2722,318,709,
2723,310,710,
2724,312,710,
2725,337,711,
2726,356,711,
2727,304,815,as total built area
2728,371,712,
2729,327,712,
2730,300,712,
2731,308,712,
2732,371,713,
2733,371,675,as stress if HA >30$%
2734,371,687,Qualitative
2735,371,688,Qualitative
2736,371,684,as Downpayment affordability
2737,353,714,
2738,310,714,
2739,337,715,
2740,337,717,
2741,337,719,
2742,352,718,
2743,304,718,
2744,305,718,
2745,356,716,
2746,343,716,
2747,309,721,
2748,352,721,
2749,310,721,
2750,352,723,
2751,374,723,
2752,307,816,per 1000 residents
2753,324,816,
2754,319,816,space in m2 per person
2755,375,724,
2756,376,724,
2757,356,724,
2758,377,724,
2759,337,724,
2760,379,725,
2761,332,725,
2762,304,725,
2763,309,726,
2764,379,727,
2765,379,672,
2766,332,727,"total per 10,000 sqm"
2767,350,727,
2768,339,727,
2769,305,727,
2770,307,727,
2771,328,727,
2772,343,727,
2773,309,728,
2774,328,728,
2775,301,728,
2776,301,682,
2777,358,728,
2778,337,729,
2779,340,727,
2780,352,730,
2781,309,730,
2782,324,731,
2783,371,731,Qualitative
2784,307,661,
2785,382,661,
2786,382,672,
2787,382,731,
2788,383,731,
2789,337,731,
2790,308,731,
2791,343,731,
2792,342,732,
2793,343,732,
2794,309,733,
2795,343,734,
2796,343,735,
2797,356,734,
2798,380,731,
2799,381,731,
2800,380,735,
2801,343,737,
2802,356,737,
2803,308,736,
2804,309,736,
2805,354,736,
2806,354,701,
2807,354,669,
2808,384,736,
2809,356,738,as number of
2810,328,738,
2811,322,738,
2812,356,739,
2813,337,739,
2814,309,740,
2815,308,741,
2816,309,742,
2817,385,672,
2818,385,742,
2819,352,743,
2820,373,744,
2821,307,744,
2822,340,744,
2823,359,745,
2824,363,745,
2825,361,745,
2826,361,694,
2827,356,745,
2828,358,746,
2829,339,747,
2830,339,748,
2831,368,749,
2832,355,749,
2833,387,749,
2834,301,749,
2835,358,749,
2836,337,678,per Dwelling type
2837,364,749,
2838,366,699,
2839,364,697,
2840,352,749,
2841,323,749,
2842,356,750,
2843,311,750,Biodiversity
2844,361,750,
2845,337,751,
2846,345,752,
2847,324,752,
2848,387,753,
2849,323,753,
2850,309,754,
2851,309,755,
2852,352,756,
2853,310,756,
2854,371,758,as Downpayment affordability
2855,312,758,as affordability
2856,309,758,
2857,343,758,
2858,342,758,
2859,310,758,
2860,314,758,
2861,346,676,
2862,347,676,
2863,345,759,
2864,347,759,
2865,320,760,
2866,345,760,
2867,343,760,
2868,318,760,
2869,371,761,
2870,320,762,
2871,345,762,
2872,345,679,Housing Quality Indicator (UK)
2873,387,762,
2874,306,762,
2875,304,762,
2876,353,762,
2877,342,763,
2878,359,763,
2879,388,763,
2880,325,763,
2881,387,764,
2882,389,764,
2883,339,765,
2884,374,766,
2885,352,766,
2886,340,766,
2887,326,767,
2888,320,767,
2889,352,768,
2890,337,768,as Sale price
2891,304,768,
2892,309,768,
2893,339,768,
2894,352,769,
2895,310,770,
2896,323,770,
2897,388,770,
2898,309,770,
2899,387,770,
2900,371,771,Qualitative
2901,344,771,
2902,346,771,
2903,356,771,
2904,319,771,
2905,357,772,
2906,371,772,
2907,309,773,per income percentile and age
2908,304,774,
2909,369,774,
2910,305,774,
2911,345,775,Basic Facility Index
2912,358,775,
2913,352,776,
2914,345,777,Self Help Quality Index
2915,326,778,
2916,309,779,
2917,308,779,
2918,339,779,
2919,337,779,
2920,332,779,
2921,304,779,
2922,310,779,
2923,309,780,
2924,308,780,
2925,343,780,
2926,382,780,
2927,351,781,Shannon diversity
2928,375,781,
